fk_codigo_Filial,CodigoTransacao,DataTransacao
1,205624,18/03/2022
1,239297,07/06/2022
1,326055,27/12/2022
1,223496,30/04/2022
1,146768,05/10/2021
1,258572,21/07/2022
1,258176,21/07/2022
1,147992,08/10/2021
1,242204,14/06/2022
1,287038,30/09/2022
1,198360,28/02/2022
1,270089,20/08/2022
1,203277,14/03/2022
1,314152,29/11/2022
1,313756,29/11/2022
1,173365,15/12/2021
1,319907,13/12/2022
1,205916,18/03/2022
1,245682,21/06/2022
1,245286,21/06/2022
1,208082,23/03/2022
1,198256,28/02/2022
1,203569,14/03/2022
1,172126,13/12/2021
1,173657,15/12/2021
1,295218,21/10/2022
1,348405,22/02/2023
1,347202,18/02/2023
1,173261,15/12/2021
1,328559,04/01/2023
1,217265,18/04/2022
1,216869,18/04/2022
1,201493,09/03/2022
1,250897,05/07/2022
1,251293,05/07/2022
1,141221,14/09/2021
1,223428,30/04/2022
1,240268,08/06/2022
1,269366,18/08/2022
1,340572,02/02/2023
1,257156,20/07/2022
1,344852,13/02/2023
1,289072,05/10/2022
1,216236,13/04/2022
1,328024,03/01/2023
1,308173,21/11/2022
1,288676,05/10/2022
1,172418,13/12/2021
1,215153,11/04/2022
1,214757,11/04/2022
1,253908,12/07/2022
1,291930,12/10/2022
1,175517,21/12/2021
1,291534,12/10/2022
1,329154,05/01/2023
1,156588,27/10/2021
1,196053,21/02/2022
1,233164,21/05/2022
1,157556,01/11/2021
1,331356,11/01/2023
1,279715,13/09/2022
1,156218,26/10/2021
1,280111,13/09/2022
1,196657,22/02/2022
1,233804,23/05/2022
1,269262,18/08/2022
1,257448,20/07/2022
1,275548,05/09/2022
1,301498,08/11/2022
1,324942,24/12/2022
